Title,FileName,Speaker,Date,Text,SeriesName,Mp3Url,SermonPageUrl,SeriesIndex,SermonId
A Fitting Farewell,20141123_am.mp3,Greg Pickle,2014-11-23,Philippians 4:20-23,Philippians,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20141123_am.mp3,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180224462,33,180224462
"What We Teach: Faith, Part 2",20141123_ss.mp3,Greg Pickle,2014-11-23,Various,What We Teach,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20141123_ss.mp3,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180224463,11,180224463
The Gospel of John: An Introduction,20141123_pm.mp3,Brian Beemer,2014-11-23,John 1,The Gospel of John,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20141123_pm.mp3,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180224464,1,180224464
Gratitude for a Beloved Ministry Partner,20141130_am.mp3,Greg Pickle,2014-11-30,Philemon 1:1-7,Philemon,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20141130_am.mp3,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180224457,1,180224457
"What We Teach: Faith, part 3",20141130_ss.mp3,Greg Pickle,2014-11-30,Various,What We Teach,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20141130_ss.mp3,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180224459,12,180224459
"Paul's Appeal to Philemon, Part 1",20141207_am.mp3,Greg Pickle,2014-12-07,Philemon 7-16,Philemon,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20141207_am.mp3,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180225207,2,180225207
"What We Teach: Justification, Part 1",20141207_ss.mp3,Greg Pickle,2014-12-07,Various,What We Teach,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20141207_ss.mp3,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180225215,13,180225215
The Gospel of John: John 1:1-2,2014127 Evening Service.mp3,Brian Beemer,2014-12-07,John 1:1-18,The Gospel of John,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/2014127 Evening Service.mp3,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180226179,2,180226179
"What We Teach: Justification, Part 2",20141214 Sunday School.mp3,Greg Pickle,2014-12-14,Various,What We Teach,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20141214 Sunday School.mp3,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180226183,14,180226183
Grace Has Appeared,20141221_am.mp3,Greg Pickle,2014-12-21,Titus 2:11-14,Christmas,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20141221_am.mp3,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180226660,1,180226660
Two Kinds of Men,20141228_am.mp3,Greg Pickle,2014-12-28,Psalm 1:1-6,,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20141228_am.mp3,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180227416,6,180227416
A High View of Scripture,20150104_am.mp3,Greg Pickle,2015-01-04,2 Timothy 3:14-4:4,Foundations of Biblical Ministry,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20150104_am.mp3,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180228057,1,180228057
