SermonId,Title,Speaker,Date,Text,Mp3Url,SeriesName,SermonPageUrl,SeriesIndex
180571172,"Life in the Family - Marriage, Class 15 - Unequally Yoked",Greg Pickle,2019-07-21,,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20190721_ss.mp3,Life in the Family - Marriage,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180571172,14
180570757,Malachi 1:1-14,Phillip Boudreaux,2019-07-14,Malachi 1:1-14,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20190714_ss.mp3,Malachi,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180570757,1
180570788,Colossians 3:10-14 - Put on Godly Character,Brian Beemer,2019-07-14,Colossians 3:10-14,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20190714_am.mp3,Colossians,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180570788,12
180570370,1 Thessalonians 5:14 - Meeting One Another's Spiritual Needs,Greg Pickle,2019-07-07,1 Thessalonians 5:14,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20190707_am.mp3,Thessalonians,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180570370,22
180570370,1 Thessalonians 5:14 - Meeting One Another's Spiritual Needs,Greg Pickle,2019-07-07,1 Thessalonians 5:14,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20190707_am.mp3,Thessalonians,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180570370,23
180569935,"Life in the Family - Marriage, Class 13 - Solutions to Marriage Problems, Part 5",Greg Pickle,2019-06-30,,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20190630_ss.mp3,Life in the Family - Marriage,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180569935,13
180569966,1 Thessalonians 5:12-13 - The Church and Its Leaders,Greg Pickle,2019-06-30,1 Thessalonians 5:12-13,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20190630_am.mp3,Thessalonians,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180569966,21
180569908,Yahweh - The Covenant Shepherd,Dan Snider,2019-06-23,Psalm 23,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20190623_am.mp3,Guest Speakers,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180569908,8
180569905,"Life in the Family - Marriage, Class 12 - Solutions to Marriage Problems, Part 4",Greg Pickle,2019-06-23,,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20190623_ss.mp3,Life in the Family - Marriage,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180569905,12
180568953,"Life in the Family - Marriage, Class 11 - Solutions to Marriage Problems, Part 3",Greg Pickle,2019-06-16,,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20190616_ss.mp3,Life in the Family - Marriage,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180568953,11
180568976,1 Thessalonians 5:4-11 - The Believer's Response to the Day of the Lord,Greg Pickle,2019-06-16,1 Thessalonians 5:4-11,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20190616_am.mp3,Thessalonians,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180568976,20
180568531,"Life in the Family - Marriage, Class 10 - Solutions to Marriage Problems, Part 2",Greg Pickle,2019-06-09,,http://www.crosswayknoxville.org/home/180013269/180013269/Audio/20190609_ss.mp3,Life in the Family - Marriage,/site/file.asp?sec_id=180013269&table=file_downloads&file_id=180568531,10
